library_id,name,street,city,state,zip,latitude,longitude,full_address
366490978,Norfolk Public Library,308 Prospect Avenue,Norfolk,NE,68701,42.036960,-97.411177,"308 Prospect Avenue, Norfolk, NE, 68701"
366490880,North Loup Township Library,112 South B,North Loup,NE,68859,41.494783,-98.774346,"112 South B, North Loup, NE, 68859"
366490910,North Platte Public Library,120 West 4th Street,North Platte,NE,69101,41.136387,-100.764034,"120 West 4th Street, North Platte, NE, 69101"
366491139,Oakland Public Library,401 North Oakland Avenue,Oakland,NE,68045,41.835767,-96.465859,"401 North Oakland Avenue, Oakland, NE, 68045"
366490941,Goodall City Library,203 West A Street,Ogallala,NE,69153,41.125826,-101.720174,"203 West A Street, Ogallala, NE, 69153"
366491344,A V Sorenson Branch Library,4808 Cass Street,Omaha,NE,68132,41.263522,-95.986519,"4808 Cass Street, Omaha, NE, 68132"
366491183,Pawnee City Carnegie Public Library,730 G Street,Pawnee City,NE,68420,40.110278,-96.152784,"730 G Street, Pawnee City, NE, 68420"
366491164,Auld Public Library,537 North Webster Street,Red Cloud,NE,68970,40.090691,-98.519681,"537 North Webster Street, Red Cloud, NE, 68970"
366491067,Seward Public Library,,Seward,NE,,40.906258,-97.098289,"Seward, NE"
366490995,Shelton Township Library,313 C Street,Shelton,NE,68876,40.777406,-98.733695,"313 C Street, Shelton, NE, 68876"
366490877,Spalding Public Library,159 West Saint Joseph Street,Spalding,NE,68665,41.688575,-98.363866,"159 West Saint Joseph Street, Spalding, NE, 68665"
366491078,Stromsburg Public Library,,Stromsburg,NE,,41.113855,-97.594460,"Stromsburg, NE"
366490902,Stuart Township Library,,Stuart,NE,68780,42.599793,-99.142351,"Stuart, NE, 68780"
366491197,Table Rock Public Library,511 Luzerne Street,Table Rock,NE,68447,40.178478,-96.096911,"511 Luzerne Street, Table Rock, NE, 68447"
366491379,Valley Public Library,232 North Spruce Street,Valley,NE,68064,41.313832,-96.345321,"232 North Spruce Street, Valley, NE, 68064"
366491125,Wahoo Public Library,637 North Maple Street,Wahoo,NE,68066,41.211400,-96.621668,"637 North Maple Street, Wahoo, NE, 68066"
6382392404,Agnes Robinson Waterloo Public Library,23704 Cedar Drive,Waterloo,NE,68069,41.285307,-96.288780,"23704 Cedar Drive, Waterloo, NE, 68069"
366491116,John A Stahl Library,330 North Colfax Street,West Point,NE,68788,41.842499,-96.709199,"330 North Colfax Street, West Point, NE, 68788"
366491118,Wisner Public Library,1015 E Avenue East,Wisner,NE,68791,41.987385,-96.915180,"1015 E Avenue East, Wisner, NE, 68791"
366491012,Wymore Public Library,,Wymore,NE,68466,40.121526,-96.663136,"Wymore, NE, 68466"
13384415354,Allenstown Public Library,59 Main Street,Allenstown,NH,03275,43.128120,-71.454251,"59 Main Street, Allenstown, NH, 03275"
366495050,Shedd-Porter Memorial Library,2 Main Street,Alstead,NH,03602,43.149163,-72.361633,"2 Main Street, Alstead, NH, 03602"
366494967,New Hampshire State Prison Library,North State Street,Concord,NH,,43.227399,-71.557611,"North State Street, Concord, NH"
12762825440,Dunbarton Public Library,1004 School Street,Dunbarton,NH,03046,43.102799,-71.616240,"1004 School Street, Dunbarton, NH, 03046"
13682357436,George Holmes Bixby Library,52 Main Street,Francestown,NH,,42.989096,-71.813596,"52 Main Street, Francestown, NH"
366494893,Gilford Public Library,,Gilford,NH,,43.547577,-71.405905,"Gilford, NH"
11020528411,1902 Room,25 North Main Street,Hanover,NH,03755,43.705026,-72.289013,"25 North Main Street, Hanover, NH, 03755"
3001689819,Feldberg Library,31 Tuck Mall,Hanover,NH,03755,43.705134,-72.295064,"31 Tuck Mall, Hanover, NH, 03755"
8140915704,Rauner Special Collections Library,5 Wentworth Street,Hanover,NH,03755,43.704511,-72.288173,"5 Wentworth Street, Hanover, NH, 03755"
11020545956,Reiss Hall,25 North Main Street,Hanover,NH,03755,43.705186,-72.288687,"25 North Main Street, Hanover, NH, 03755"
7902976266,Fuller Public Library,29 School Street,Hillsborough,NH,03244,43.116375,-71.895760,"29 School Street, Hillsborough, NH, 03244"
3355163918,Jackson Public Library,52 Main Street,Jackson,NH,03846,44.141900,-71.182857,"52 Main Street, Jackson, NH, 03846"
12994234515,American Canadian Genealogical Society,1 Sundial Avenue,Manchester,NH,,42.972648,-71.469219,"1 Sundial Avenue, Manchester, NH"
680516733,Daland Memorial Library,5 North Main Street,Mont Vernon,NH,03057,42.895257,-71.674351,"5 North Main Street, Mont Vernon, NH, 03057"
